"Date","Price","Open","High","Low","Vol.","Change %"
"04/21/2022","115.500","115.550","115.650","115.350","0.04K","0.04%"
"04/20/2022","115.450","115.500","115.550","115.425","0.03K","0.13%"
"04/19/2022","115.300","115.200","115.550","115.200","0.03K","-0.09%"
"04/14/2022","115.400","115.450","115.510","115.350","0.04K","0.04%"
"04/13/2022","115.350","115.400","115.450","115.350","0.03K","0.00%"
"04/12/2022","115.350","115.450","115.450","115.350","0.05K","0.00%"
"04/11/2022","115.350","115.400","115.460","115.200","0.06K","0.09%"
"04/08/2022","115.250","115.300","115.400","115.100","0.02K","0.04%"
"04/07/2022","115.200","115.200","115.350","115.100","0.06K","0.00%"
"04/06/2022","115.200","115.100","115.300","115.000","0.06K","0.13%"
"04/05/2022","115.050","115.100","115.200","115.050","0.04K","0.04%"
"04/04/2022","115.000","115.100","115.100","114.900","0.05K","0.04%"
"04/01/2022","114.950","114.900","115.100","114.900","0.04K","0.04%"
"03/31/2022","114.900","114.850","115.000","114.850","0.04K","0.04%"
"03/30/2022","114.850","114.900","115.000","114.600","0.06K","0.04%"
"03/29/2022","114.800","114.800","115.000","114.750","0.04K","0.09%"
"03/28/2022","114.700","114.750","114.850","114.600","0.05K","0.00%"
"03/25/2022","114.700","114.625","114.850","114.550","0.06K","0.17%"
"03/24/2022","114.500","114.550","114.750","114.400","0.07K","0.04%"
"03/23/2022","114.450","114.400","114.650","114.400","0.08K","0.00%"
"03/22/2022","114.450","114.400","114.600","114.400","0.05K","0.09%"
"03/21/2022","114.350","114.350","114.450","114.300","0.04K","0.04%"
"03/18/2022","114.300","114.300","114.450","114.200","0.04K","0.00%"
"03/17/2022","114.300","114.300","114.450","114.250","0.05K","0.04%"
"03/16/2022","114.250","114.100","114.350","114.100","0.04K","0.09%"
"03/15/2022","114.150","114.200","114.450","114.100","0.05K","0.00%"
"03/14/2022","114.150","114.200","114.250","114.125","0.04K","0.04%"
"03/11/2022","114.100","114.100","114.200","114.075","0.02K","0.09%"
"03/10/2022","114.000","114.100","114.250","114.050","0.06K","0.00%"
"03/09/2022","114.000","114.050","114.200","113.950","0.05K","0.00%"
"03/08/2022","114.000","114.000","114.180","113.700","0.07K","0.04%"
"03/07/2022","113.950","113.900","114.050","113.700","0.06K","0.04%"
"03/04/2022","113.900","113.900","114.000","113.700","0.03K","0.04%"
"03/03/2022","113.850","113.875","114.050","113.800","0.04K","0.04%"
"03/02/2022","113.800","113.850","114.000","113.700","0.04K","0.04%"
"03/01/2022","113.750","113.850","113.900","113.750","0.03K","0.00%"
"02/28/2022","113.750","113.850","113.850","113.550","0.02K","0.00%"
"02/25/2022","113.750","113.850","113.850","113.750","0.02K","0.00%"
"02/24/2022","113.750","113.800","113.850","113.550","0.03K","0.04%"
"02/23/2022","113.700","113.700","113.880","113.600","0.07K","0.09%"
"02/22/2022","113.600","113.700","113.800","113.550","0.04K","0.00%"
"02/21/2022","113.600","113.650","113.750","113.650","0.03K","0.00%"
"02/18/2022","113.600","113.700","113.700","113.600","0.02K","0.09%"
"02/17/2022","113.500","113.650","113.750","113.600","0.04K","0.00%"
"02/16/2022","113.500","113.650","113.700","113.600","0.02K","-0.04%"
"02/15/2022","113.550","113.600","113.650","113.550","0.03K","0.00%"
"02/14/2022","113.550","113.600","113.650","113.550","0.02K","0.04%"
"02/11/2022","113.500","113.600","113.650","113.600","0.01K","-0.04%"
"02/10/2022","113.550","113.600","113.655","113.550","0.02K","0.00%"
"02/09/2022","113.550","113.650","113.650","113.550","0.02K","0.04%"
"02/08/2022","113.500","113.600","113.650","113.550","0.03K","-0.04%"
"02/07/2022","113.550","113.550","113.700","113.550","0.02K","0.04%"
"02/04/2022","113.500","113.650","113.700","113.500","0.02K","0.04%"
"02/03/2022","113.450","113.550","113.650","113.550","0.02K","0.00%"
"02/02/2022","113.450","113.550","113.620","113.550","0.02K","-0.04%"
"02/01/2022","113.500","113.550","113.600","113.500","0.02K","0.00%"
"01/31/2022","113.500","113.550","113.620","113.550","0.02K","0.04%"
"01/28/2022","113.450","113.525","113.600","113.525","0.03K","-0.09%"
"01/27/2022","113.550","113.525","113.650","113.450","0.04K","0.09%"
"01/26/2022","113.450","113.400","113.550","113.400","0.02K","-0.09%"
"01/25/2022","113.550","113.550","113.650","113.500","0.02K","0.04%"
"01/24/2022","113.500","113.400","113.600","113.200","0.03K","0.00%"
"01/21/2022","113.500","113.500","113.600","113.450","0.02K","0.04%"
"01/20/2022","113.450","113.450","113.650","113.425","0.04K","0.09%"
"01/19/2022","113.350","113.450","113.550","113.400","0.03K","-0.04%"
"01/18/2022","113.400","113.400","113.550","113.200","0.04K","0.04%"
"01/17/2022","113.350","113.350","113.450","113.300","0.04K","0.00%"
"01/14/2022","113.350","113.400","113.450","113.250","0.03K","0.09%"
"01/13/2022","113.250","113.300","113.420","113.250","0.04K","0.09%"
"01/12/2022","113.150","113.250","113.400","113.150","0.03K","-0.09%"
"01/11/2022","113.250","113.350","113.400","113.150","0.03K","0.04%"
"01/10/2022","113.200","113.250","113.350","112.900","0.04K","0.00%"
"01/07/2022","113.200","113.200","113.300","113.150","0.02K","0.13%"
"01/06/2022","113.050","113.100","113.250","113.100","0.03K","-0.09%"
"01/05/2022","113.150","113.200","113.270","113.100","0.03K","0.09%"
"01/04/2022","113.050","113.150","113.250","113.100","0.04K","0.00%"
"01/03/2022","113.050","113.000","113.200","113.000","0.02K","0.00%"
"12/31/2021","113.050","113.150","113.200","112.900","0.02K","0.00%"
"12/30/2021","113.050","113.150","113.200","112.950","0.06K","0.00%"
"12/29/2021","113.050","113.150","113.200","112.950","0.02K","0.04%"
"12/28/2021","113.000","113.150","113.200","113.000","0.02K","0.00%"
"12/24/2021","113.000","113.150","113.150","112.900","0.04K","0.00%"
"12/23/2021","113.000","113.025","113.150","112.900","0.03K","0.04%"
"12/22/2021","112.950","113.050","113.150","112.900","0.02K","0.09%"
"12/21/2021","112.850","112.950","113.150","112.850","0.03K","-0.09%"
"12/20/2021","112.950","112.950","113.150","112.900","0.03K","0.04%"
"12/17/2021","112.900","112.900","113.100","112.900","0.03K","0.00%"
"12/16/2021","112.900","112.900","113.100","112.650","0.04K","0.09%"
"12/15/2021","112.800","112.900","113.050","112.800","0.03K","0.00%"
"12/14/2021","112.800","112.900","113.000","112.850","0.01K","0.00%"
"12/10/2021","112.800","112.850","113.000","112.650","0.04K","0.00%"
"12/09/2021","112.800","112.800","112.950","112.750","0.04K","0.00%"
"12/08/2021","112.800","112.775","112.900","112.550","0.07K","0.04%"
"12/07/2021","112.750","112.700","112.900","112.650","0.06K","0.09%"
"12/06/2021","112.650","112.600","112.750","112.600","0.03K","0.04%"
"12/03/2021","112.600","112.650","112.750","112.550","0.04K","0.04%"
"12/02/2021","112.550","112.500","112.700","112.450","0.04K","0.04%"
"12/01/2021","112.500","112.500","112.650","112.300","0.04K","0.04%"
"11/30/2021","112.450","112.550","112.550","112.400","0.04K","0.00%"
"11/29/2021","112.450","112.450","112.750","112.250","0.04K","0.00%"
"11/26/2021","112.450","112.350","112.550","112.300","0.04K","0.13%"
"11/25/2021","112.300","112.250","112.450","112.200","0.03K","0.00%"
"11/24/2021","112.300","112.200","112.400","112.200","0.04K","0.04%"
"11/23/2021","112.250","112.300","112.400","112.200","0.05K","0.04%"
"11/22/2021","112.200","112.300","112.400","112.050","0.05K","0.18%"
"11/19/2021","112.000","112.300","112.350","112.025","0.05K","-0.09%"
"11/18/2021","112.100","111.900","112.300","111.900","0.05K","0.18%"
"11/17/2021","111.900","111.900","112.250","111.900","0.05K","0.00%"
"11/16/2021","111.900","111.900","112.150","111.800","0.04K","0.04%"
"11/15/2021","111.850","111.900","112.100","111.650","0.05K","0.09%"
"11/12/2021","111.750","111.800","112.050","111.700","0.06K","-0.04%"
"11/11/2021","111.800","111.750","111.950","111.600","0.05K","0.09%"
"11/10/2021","111.700","111.600","112.000","111.500","0.06K","0.00%"
"11/09/2021","111.700","111.600","111.850","111.500","0.04K","0.13%"
"11/08/2021","111.550","111.600","111.760","111.500","0.05K","0.04%"
"11/05/2021","111.500","111.300","111.650","111.300","0.03K","0.00%"
"11/04/2021","111.500","111.250","111.670","111.250","0.08K","0.22%"
"11/03/2021","111.250","111.350","111.600","111.050","0.05K","0.00%"
"11/02/2021","111.250","111.200","111.450","111.200","0.04K","0.04%"
"11/01/2021","111.200","111.150","111.400","110.900","0.04K","0.00%"
"10/29/2021","111.200","111.150","111.400","111.150","0.03K","0.09%"
"10/28/2021","111.100","111.000","111.300","111.000","0.05K","0.09%"
"10/27/2021","111.000","111.000","111.200","111.000","0.02K","-0.05%"
"10/26/2021","111.050","111.000","111.200","110.900","0.03K","0.00%"
"10/25/2021","111.050","111.150","111.200","110.900","0.03K","0.05%"
"10/22/2021","111.000","110.900","111.150","110.900","0.02K","0.09%"
"10/21/2021","110.900","110.900","111.100","110.850","0.05K","-0.05%"
"10/19/2021","110.950","110.900","111.150","110.850","0.08K","0.09%"
"10/18/2021","110.850","110.750","110.950","110.750","0.03K","0.05%"
"10/15/2021","110.800","110.900","110.950","110.750","0.03K","0.05%"
"10/14/2021","110.750","110.650","110.900","110.650","0.05K","0.00%"
"10/13/2021","110.750","110.750","110.850","110.600","0.04K","0.05%"
"10/12/2021","110.700","110.550","110.850","110.550","0.03K","0.05%"
"10/08/2021","110.650","110.500","110.800","110.500","0.02K","0.00%"
